# lumi Mchi Mphi nEvent
56590 1 150 235
56618 1 450 242
56619 1 300 228
56576 20 100 282
56591 30 100 268
56614 1 200 235
56671 1 50 292
56673 1 50 284
56620 1 100 264
56644 20 100 265
56662 1 100 270
56663 1 450 221
56675 1 100 259
56747 1 50 269
56711 51 100 269
56712 1 400 251
56714 1 100 242
56717 1 100 258
56719 1 300 246
56720 30 100 247
56772 45 100 268
56777 1 350 240
56793 1 100 267
56794 1 50 250
56797 30 100 271
56798 1 50 263
56817 1 50 270
56832 1 50 252
56835 1 100 266
56836 1 300 263
56837 1 400 221
56841 1 50 256
69181 51 100 232
69186 49 100 252
69210 30 100 242
69817 20 100 277
69846 1 350 234
69937 1 50 250
69267 1 200 249
69272 1 100 260
69289 20 100 256
69292 40 100 270
69295 1 100 265
69409 1 400 209
69444 1 100 246
69476 1 100 275
69493 1 350 215
69500 55 100 251
69511 1 300 232
# lumi Mchi Mphi nEvent
49 1 50 279
63 1 100 262
65 1 50 277
307 1 300 212
484 1 450 217
494 1 150 245
310 20 100 266
316 1 250 240
325 1 150 270
334 1 50 264
335 1 350 231
344 1 100 264
597 40 100 271
694 1 250 226
705 1 100 256
711 1 50 281
958 51 100 260
19235 1 100 288
747 1 100 264
749 1 100 273
753 40 100 262
755 1 150 262
761 1 50 253
793 1 350 215
768 55 100 253
20079 45 100 271
20815 30 100 277
25718 51 100 252
25794 20 100 244
25796 30 100 251
19299 45 100 288
19375 1 100 261
19390 1 100 256
19542 1 350 211
19595 1 400 212
54054 1 100 277
19616 1 300 210
19619 1 500 214
19736 1 250 230
19740 1 100 224
20622 1 150 236
20748 1 250 208
25138 1 500 213
19729 1 200 239
53070 1 100 285
53136 1 400 238
53351 1 400 227
53377 1 200 259
53400 1 100 276
19777 1 100 282
54578 1 50 294
54895 1 500 222
54896 1 150 246
54898 1 150 262
54915 51 100 255
19810 1 100 286
54187 55 100 260
54281 1 300 219
69215 1 300 255
69571 1 100 266
69797 1 100 261
20553 40 100 263
20603 1 150 253
20664 1 50 283
20666 30 100 277
20708 55 100 259
20709 1 50 264
20678 40 100 263
20691 40 100 273
20716 1 200 234
20721 1 50 281
20732 45 100 244
20734 1 200 248
20739 40 100 267
20745 1 100 264
20750 1 500 234
20804 45 100 247
20816 1 100 251
20829 1 50 281
25144 51 100 259
25185 1 100 267
