# lumi Mchi Mphi nEvent
10454 1 450 84
10476 1 50 93
10525 1 250 91
10687 1 350 89
10930 1 250 97
13451 1 350 75
13579 1 350 84
14236 20 100 88
14764 51 100 107
14958 49 100 79
14982 1 50 95
15014 1 50 92
15086 1 50 102
15264 1 200 79
15457 1 350 72
15522 1 50 95
15676 1 400 66
15850 1 350 82
15931 1 200 96
17344 30 100 92
18109 51 100 86
18450 1 50 96
18482 1 400 79
18733 1 50 88
18742 30 100 82
18869 51 100 90
18951 1 50 76
19152 55 100 89
19363 1 100 102
19365 1 150 84
19632 1 300 87
19849 55 100 93
19851 20 100 87
19867 1 400 72
20255 49 100 81
20311 1 350 76
20597 55 100 75
20895 1 100 92
22745 1 100 109
22858 49 100 88
27563 1 100 93
40961 1 300 75
37901 1 50 91
37902 30 100 100
39439 1 300 80
23578 1 300 91
24534 45 100 98
28615 1 100 98
30972 55 100 86
35901 1 250 89
39372 30 100 92
39418 1 500 80
39605 30 100 104
39783 1 500 72
40147 49 100 93
40265 30 100 98
40268 20 100 89
40979 1 50 91
46633 49 100 101
49352 1 50 92
49587 40 100 96
50155 1 450 68
50634 1 500 61
51191 49 100 95
51325 51 100 85
51381 1 50 95
51447 20 100 91
51455 1 50 95
51516 51 100 93
51624 20 100 94
51775 55 100 84
51867 1 200 84
52036 1 450 88
52084 1 50 90
52669 1 100 91
53092 1 50 91
57274 1 500 76
57657 30 100 84
49970 51 100 88
50452 45 100 90
50808 1 50 95
53381 1 350 79
53592 1 500 77
54055 1 100 102
54458 1 150 90
54471 49 100 105
54492 49 100 103
54668 1 100 103
54673 1 500 74
54821 1 350 75
54924 1 400 78
55217 1 450 71
55312 51 100 88
56372 1 350 69
56754 1 100 98
57682 49 100 103
58707 20 100 89
59474 1 50 98
59758 40 100 90
60003 1 100 94
61161 51 100 99
61378 1 150 87
61758 1 100 98
61975 1 350 85
62071 1 200 92
62094 49 100 89
62232 30 100 99
62512 1 100 85
62570 1 50 86
62661 1 200 89
62669 40 100 92
63036 55 100 82
63487 49 100 91
63512 1 100 87
63577 1 400 82
63917 20 100 82
63979 51 100 102
64557 1 50 78
69382 1 50 102
49995 1 100 91
50744 20 100 98
54830 20 100 93
55785 1 400 68
61128 51 100 101
61886 1 50 89
62053 1 150 100
62118 1 50 106
62175 1 400 86
62350 1 450 85
62391 20 100 96
62422 1 350 91
62867 1 50 106
63140 1 250 84
63289 1 350 74
63508 45 100 105
64274 1 100 91
64412 1 200 102
64461 1 450 61
67158 30 100 97
67657 45 100 76
67904 1 50 97
68277 1 150 84
69001 1 350 89
76556 1 500 63
90112 1 350 73
72718 1 450 78
73748 1 50 84
74249 45 100 112
88592 1 50 107
90629 1 300 93
53997 1 200 99
55546 1 400 85
69139 51 100 85
54817 1 50 96
55495 1 50 94
55499 45 100 84
55824 49 100 93
55957 45 100 101
58495 1 50 105
62013 55 100 104
62045 1 100 96
62653 1 250 88
64153 1 350 76
64190 1 200 91
64283 45 100 96
64561 20 100 92
64607 51 100 94
64609 1 500 67
64621 55 100 88
67184 1 100 96
67222 1 50 89
67585 1 100 96
67610 1 100 88
67723 1 500 69
67752 1 50 93
67776 1 250 82
68675 1 400 87
68681 1 500 67
68722 1 400 74
69811 51 100 80
75942 1 100 86
76003 1 50 75
76005 1 400 78
76304 30 100 101
76507 1 150 100
67709 45 100 94
