# lumi Mchi Mphi nEvent
21248 1 450 230
21249 1 450 205
21254 1 50 260
21262 40 100 259
21264 1 100 264
21267 1 500 232
21250 1 100 247
21256 49 100 265
21266 1 300 235
21270 1 150 258
21268 49 100 235
21271 55 100 256
21272 1 100 249
22107 1 100 227
17389 1 50 270
19945 1 50 271
19406 1 100 250
19937 1 100 273
19950 51 100 251
19422 1 50 280
19912 1 200 241
19956 49 100 282
19959 20 100 273
19963 1 450 213
20413 1 450 229
20452 1 100 264
20453 1 450 244
29007 49 100 262
20410 1 300 233
20411 20 100 264
22999 1 500 203
22526 1 300 232
22978 1 50 271
30031 1 250 234
30052 1 300 230
30072 1 450 218
30073 1 450 211
30074 30 100 248
30080 20 100 264
30172 51 100 254
30461 1 300 240
30713 1 100 252
30910 1 150 263
31808 20 100 261
36184 1 250 258
37321 1 250 227
30075 30 100 253
30131 1 100 265
30169 1 250 249
30573 1 350 224
30742 1 150 248
36089 51 100 247
36387 1 400 218
36696 20 100 268
36727 1 100 252
36738 45 100 269
30077 1 50 284
30081 55 100 261
30084 1 50 275
30123 1 50 268
30614 1 500 221
30743 45 100 286
31777 30 100 257
36073 55 100 261
36279 1 400 217
36379 1 100 261
36677 40 100 257
36803 55 100 230
36827 45 100 264
36851 55 100 254
36899 30 100 229
37322 1 100 266
30148 1 100 237
30405 1 150 255
30446 1 50 290
36164 1 400 226
36222 51 100 275
36263 1 350 224
36592 40 100 283
36672 1 150 265
36742 1 100 274
36819 51 100 268
31065 49 100 277
31165 40 100 271
31340 1 50 254
31367 1 100 260
31373 1 450 222
31450 51 100 280
31521 1 400 211
31568 1 50 265
31972 1 200 246
37329 51 100 266
30042 1 100 255
30061 1 50 275
30318 1 100 252
30355 1 400 224
30969 1 100 248
31028 1 150 225
31299 1 100 267
31354 45 100 250
31375 1 300 248
31538 1 400 206
31913 1 100 272
30153 1 350 241
30513 40 100 289
30721 51 100 254
30767 1 350 229
30808 1 50 260
30911 1 300 202
30977 1 50 282
36096 1 450 212
36244 20 100 246
36253 49 100 250
36717 1 300 229
36802 1 500 218
36838 1 50 255
36902 1 300 223
37198 1 150 264
30565 1 250 238
36104 1 100 244
36160 1 250 219
36811 1 50 270
36829 51 100 244
36853 40 100 274
36958 30 100 289
36990 1 50 270
37173 40 100 239
30978 1 50 241
36196 1 50 243
36214 1 50 273
36409 1 200 221
36691 1 100 269
36693 1 500 215
36786 1 50 264
36869 30 100 255
37165 1 400 229
37206 1 200 260
37223 55 100 263
36959 1 50 245
31838 1 100 240
31839 1 50 257
31876 20 100 275
31877 20 100 284
31882 1 50 267
31883 1 50 291
31884 30 100 265
31886 49 100 253
31891 1 100 268
31894 49 100 276
31898 40 100 255
31902 49 100 262
31872 1 250 243
31873 1 100 264
31874 1 400 214
31885 51 100 255
31887 1 50 295
31888 1 100 252
31889 40 100 253
31890 1 200 253
31897 1 100 280
31904 1 250 241
31906 1 350 226
31911 45 100 263
31912 1 450 231
31918 1 100 256
31919 1 50 264
31920 30 100 255
31928 51 100 274
31934 1 100 255
31907 1 100 264
31917 45 100 278
31925 30 100 285
31926 55 100 268
31941 1 100 285
31943 1 100 269
31958 45 100 279
31967 1 100 270
32000 55 100 246
31944 1 500 225
31949 1 50 258
31951 1 200 237
31952 45 100 258
31957 1 350 250
31959 49 100 252
31960 1 50 249
31968 51 100 257
31336 1 400 225
31342 1 450 219
31460 1 100 250
31461 45 100 237
31483 1 500 215
31485 1 100 244
31852 1 200 245
31842 20 100 270
31846 55 100 213
31850 1 50 262
31861 1 150 229
31993 1 450 211
31334 1 100 261
31343 1 50 261
31352 20 100 261
31459 1 200 248
31467 1 250 245
31469 51 100 255
31478 1 50 274
31484 55 100 265
31509 49 100 260
31583 51 100 263
31600 1 200 242
31607 1 100 251
31614 1 100 242
31840 1 150 244
31841 30 100 269
31847 1 100 270
31858 1 200 226
35187 1 500 220
35316 1 350 239
35433 1 100 261
32001 1 450 212
32058 20 100 255
32060 1 500 225
32064 1 350 220
32084 1 150 266
32086 1 200 248
32088 1 350 206
32094 1 100 234
32103 1 450 229
32105 1 450 210
32118 1 200 210
32590 40 100 232
32595 1 350 245
32613 40 100 244
32621 1 50 277
32670 30 100 253
32675 1 200 250
32676 1 300 234
32686 30 100 259
32002 1 200 251
32004 1 100 274
32061 1 400 223
32063 1 100 267
32082 1 250 227
32085 1 450 208
32090 1 50 272
32098 55 100 245
32147 1 400 213
32171 55 100 236
32172 1 300 217
32196 1 400 228
32200 1 200 236
32207 20 100 271
32209 1 450 214
32211 51 100 276
32214 1 500 214
32218 1 200 257
32005 1 100 279
32054 30 100 252
32055 30 100 262
32056 1 250 221
32062 1 350 244
32080 1 250 242
32081 1 100 266
32083 1 150 283
32089 1 300 254
32093 40 100 257
32095 1 50 281
32100 45 100 265
32106 1 400 236
32107 49 100 257
32108 20 100 261
32111 55 100 257
32112 1 450 227
32114 1 50 277
32115 1 50 267
32117 45 100 254
32121 1 50 267
32122 40 100 272
32141 1 250 228
32193 49 100 266
32238 1 150 241
32305 1 100 255
32368 1 400 221
32405 1 450 226
32455 1 200 254
32474 1 300 234
32487 1 300 242
32283 1 300 234
32274 1 50 270
32295 1 100 236
32311 1 300 239
32395 1 100 266
32441 1 400 232
32444 1 100 261
32559 1 250 249
32524 1 50 273
32555 1 50 250
32556 1 150 260
32568 1 350 224
32643 1 300 231
32647 1 150 262
32651 1 250 266
32673 20 100 260
32674 1 150 288
32678 1 50 269
32679 1 100 279
32576 1 300 234
32640 1 450 217
32644 45 100 253
32646 1 450 209
32685 1 500 213
32687 1 250 228
32728 51 100 255
32768 1 100 229
32680 49 100 250
32740 1 150 259
32125 1 100 260
32126 1 50 281
32213 1 150 266
32240 1 300 218
32332 1 450 229
32344 55 100 254
32345 1 300 227
32362 20 100 275
32449 49 100 257
32451 30 100 255
32481 1 450 221
32488 1 400 219
32510 30 100 248
32580 1 200 258
32588 49 100 265
32589 55 100 249
32593 51 100 262
32596 1 100 288
32614 1 350 222
32591 1 200 226
32592 45 100 247
32612 45 100 287
32619 1 150 285
32730 55 100 264
32741 1 400 218
32786 40 100 276
32706 1 150 251
32710 1 200 245
32737 1 100 250
32739 1 150 263
32742 1 50 275
33334 40 100 256
33336 40 100 262
33338 1 450 237
33342 1 400 223
33363 1 350 227
33364 1 250 243
33367 1 50 292
33373 1 500 203
33380 1 350 230
33403 1 100 275
33413 1 400 215
33416 51 100 282
33417 1 400 223
33436 1 50 255
33438 49 100 265
33451 1 200 243
33461 1 300 238
33473 1 400 203
33474 1 300 243
33481 1 400 197
33485 55 100 255
33491 1 50 278
33492 51 100 274
33496 30 100 262
33503 55 100 246
33671 1 100 265
33672 1 400 234
33674 20 100 262
33676 1 450 226
33678 1 450 232
33681 1 350 227
33683 49 100 276
33689 1 450 220
33696 49 100 284
33697 1 100 263
33711 1 50 266
33744 1 450 215
33770 51 100 233
33792 1 50 281
33793 1 300 244
33794 1 400 226
33795 1 500 231
33796 49 100 262
33797 1 250 247
33802 1 300 224
32231 1 250 230
32750 1 200 242
32751 1 250 228
32754 1 100 274
32736 1 100 279
32745 1 50 256
32746 1 50 278
33759 1 50 288
33761 1 200 221
33763 1 500 217
33765 49 100 256
33766 1 50 256
33776 1 300 225
33779 1 300 234
33780 20 100 242
33781 51 100 256
33782 1 50 245
33784 1 50 272
33786 49 100 259
33787 1 350 222
33406 1 50 265
33788 1 200 248
33791 1 350 233
32006 1 50 268
32007 1 100 273
32011 40 100 259
32022 49 100 282
32023 1 100 273
32035 1 50 249
32047 1 300 244
32051 1 350 214
32067 30 100 254
32075 20 100 264
32076 1 100 249
32151 51 100 254
32156 1 150 267
32174 1 450 218
32180 55 100 270
32183 1 50 283
32202 1 50 269
32009 1 50 280
32012 51 100 258
32013 30 100 272
32016 1 200 254
32017 1 300 215
32019 30 100 275
32024 1 100 251
32027 1 50 285
32028 1 50 269
32032 1 500 206
32034 1 100 258
32036 30 100 258
32044 1 200 241
32048 1 250 235
32049 49 100 240
32052 1 100 284
32071 1 100 257
32010 49 100 274
32030 1 50 286
32150 1 150 258
32178 1 50 278
32184 1 150 266
32601 45 100 264
32655 1 50 259
32661 51 100 270
32698 1 350 230
32699 1 50 256
33051 30 100 262
33839 40 100 260
33913 1 100 251
33914 1 100 263
33915 51 100 245
33916 55 100 243
33917 1 50 266
32015 1 450 201
32179 1 300 217
32181 1 300 236
32600 1 500 218
32634 1 150 219
33030 1 400 226
33154 55 100 255
33273 1 100 266
33284 40 100 270
33285 1 200 246
33290 1 350 236
33521 1 50 281
33806 1 450 230
33808 30 100 259
33811 1 100 239
32014 1 100 266
32040 1 350 234
32069 1 400 217
33002 1 400 213
33064 1 50 277
33105 1 300 252
33148 40 100 253
33162 1 100 259
33184 1 150 265
33185 1 50 257
33187 1 50 262
32041 1 400 220
32066 1 150 266
32998 1 400 215
33069 1 500 227
33274 40 100 259
33919 1 150 242
32074 1 100 251
32132 1 300 260
32133 1 50 261
32152 1 500 218
32153 20 100 238
32154 45 100 270
32173 1 200 256
32175 55 100 276
32176 1 250 235
32177 1 100 263
32182 1 250 215
32219 1 150 254
32251 1 50 262
32315 45 100 264
32316 1 100 266
32440 1 100 245
32458 1 450 226
32486 51 100 275
32235 1 50 280
32602 1 100 276
32609 1 50 273
32623 49 100 271
32625 30 100 283
32630 45 100 282
32633 1 200 279
32662 51 100 265
32667 1 100 248
32668 1 100 279
32688 49 100 292
32690 40 100 289
32693 1 50 271
32697 1 450 208
32700 45 100 279
32719 30 100 263
33727 1 100 256
33728 1 100 280
33996 1 100 267
33023 49 100 250
33080 1 250 244
33122 55 100 268
33134 1 50 274
33135 20 100 270
33159 20 100 281
33163 1 150 278
33180 1 100 247
33266 1 100 269
33275 51 100 256
33276 20 100 262
33278 1 450 219
33281 1 500 229
33298 1 350 226
33301 1 50 258
33302 51 100 256
33515 1 200 242
33518 45 100 259
33519 1 50 253
33848 1 500 207
33894 1 250 222
33938 45 100 268
33939 1 150 272
33952 1 200 231
33953 20 100 242
33954 51 100 235
33960 1 100 279
33962 1 100 267
33979 1 100 281
33988 1 200 253
33990 1 450 210
33991 1 100 263
33992 30 100 253
33858 1 300 234
33859 55 100 234
33861 1 100 267
33864 1 100 264
33869 1 100 254
33875 20 100 268
33876 1 100 283
33877 1 50 252
33878 49 100 256
33879 1 50 271
33899 40 100 285
33930 49 100 236
33999 1 50 290
33900 1 50 255
33947 1 250 222
# lumi Mchi Mphi nEvent
15314 1 100 278
28602 1 100 272
28636 1 100 253
28645 55 100 248
28647 1 50 277
28648 1 100 257
28680 45 100 271
28872 40 100 250
28884 1 350 244
15759 40 100 260
15910 1 50 276
15912 1 150 262
15913 1 50 270
15914 51 100 262
15916 1 100 277
28080 45 100 265
28081 1 100 243
28089 1 50 299
28137 1 350 233
28138 1 200 244
28157 1 100 257
28160 1 200 241
28168 1 100 276
28183 1 350 221
28189 1 300 241
28260 1 300 218
28161 51 100 256
28169 30 100 252
28170 1 100 264
28259 45 100 254
28267 40 100 294
28275 49 100 248
28286 1 100 251
28288 45 100 254
28688 1 50 278
28711 55 100 249
28744 1 150 246
28262 51 100 286
28340 40 100 241
28341 1 500 214
28467 45 100 242
28561 1 500 223
28562 1 100 282
